Sample	Height	Weight
X242	85.44609193	90.62138763
X243	46.76148839	51.55596224
X244	0.998925919	15.66912934
X245	75.36385939	98.79873697
X246	81.98502054	76.92997337
X247	58.36767795	73.04358638
X248	67.69152963	63.70266413
X249	90.91207238	5.568934682
X250	45.30696066	54.51654723
X252	57.57665283	13.73938095
X253-1	47.21113435	61.45081939
X253-2	36.97356748	31.46414429
X254	66.01729322	88.76988494
X256	57.59286724	21.38273015
X257	26.0779195	67.22580051
X258	16.48436869	91.20592294
X259	81.73536848	72.63814526
X260	52.7748232	68.41790416
X261	52.6965672	91.91713102
X262	77.87510052	58.45315772
X263	16.61649756	13.94654133
X264	97.77672183	86.11395044
X265	6.857992572	18.95991699
X266	47.53742299	68.30836602
X267	61.20819896	19.64866488
X268	79.19708679	39.79508914
X269	31.6365579	89.59759018
X27	61.32833598	12.331407
X270	2.619798824	16.8494493
X271	10.96223593	50.85285213
X272	85.43528995	20.21697936
X273	37.09585629	68.71417531
X274	62.07090734	6.789733786
X275	46.68997561	59.60735018
X276	66.41886212	33.63393053
X277	17.68094432	39.12436305
X278	33.70496996	19.86814073
X279	51.07508135	5.533375536
X280	7.457499555	34.4625904
X281	41.14226835	31.24713863
X282	66.46781878	21.42308776
X283	82.61037827	62.43706275
X284	23.02458446	73.30104326
X285	73.58312308	31.15014249
X286	73.28477298	90.07551565
X287	51.34123586	38.72912761
X288	30.47015365	52.17716528
X289	67.71096234	55.0661204
X29	78.55656813	93.46277359
X290	64.38551198	64.24231981
X291	88.76344224	24.70966568
X292	51.79776404	75.53818798
X293-1	61.63910579	95.19304882
X293-2	8.496568764	94.60546102
X294	69.07227041	93.18752397
X295	29.19947627	74.5191195
X296	41.44408573	86.46609324
X297	80.57392231	56.33289964
X298	28.70613066	14.70061447
X30	33.40604546	54.04327687
X300	89.3224333	79.58848212
X31	77.12887049	47.76512967
X32	50.52956008	38.57443222
X33	75.31290647	74.38554081
X35	55.97342609	47.29019401
X37	46.0138246	57.8940697
X38	29.77863258	4.566892351
X4	90.39794053	46.30625848
X40	40.00481198	44.27315392
X41	63.1954004	66.02677813
X42	34.63166682	63.16483046
X44	33.07257685	25.71086531
X45	65.89787017	85.44089601
X48	18.73704198	56.09892467
X49	78.14874467	48.08946003
X5	30.69802844	62.06057421
X50	78.58501786	49.35372953
X51	30.30900361	51.74083443
X52	90.94183579	95.91774339
X53	68.50165185	95.84657174
X55	18.69126718	7.123021391
X56	22.19270365	18.67898941
X58	50.99772858	6.591328223
X6	54.03727725	54.54308082
X61	31.93358302	49.74356094
X67	10.70358208	1.406126838
X68	14.94428277	24.73551655
X72	47.26808431	37.41741176
X76	77.13678424	59.76390256
X77	23.89516267	20.44459483
X79	30.15349676	48.1682539
X81	3.472387397	12.06480219
X82	15.49870633	32.76643458
X83	36.39477132	8.210149714
X84	10.1243137	73.25117156
X85	20.25389424	30.01338975
X86	24.7704408	61.41838157
X87	39.73349586	49.81836464
X88	0.751782519	96.83823016
X9	2.242324868	68.49378969
X90	55.66844207	78.01746898
X92	43.58909833	77.23857427
n-1	70.71601723	9.0326231
se150	21.66589857	3.001839108
w27-1	72.63669807	27.72632678
x10	80.4241478	54.43537365
x100	64.88275271	81.01876458
x103	20.74612627	70.94226757
x104	23.56216042	57.78806164
x105	70.87989455	73.5078273
x106	14.71638368	16.48271507
x107-2	71.05034751	33.97566248
x108	30.99454954	88.43291263
x109	27.42209929	88.65010456
x11	9.039133196	69.68561497
x110	28.90027166	11.01032127
x111	18.96204499	57.51693873
x112	10.31151378	34.52514829
x115	97.9871737	48.78274587
x116	68.65281423	85.27104869
x118	6.410769974	40.0454185
x119	1.314887288	63.69222819
x12	77.58265794	44.57677985
x122	86.68404882	88.24574333
x124	97.39017063	5.655395172
x125	14.26926335	93.37006052
x126	20.17747228	57.25099119
x128	38.26484705	94.89892053
x129	89.55080813	77.15402722
x13	4.824511655	67.86622477
x130	32.76585399	40.88216231
x133	45.10780849	44.32007676
x134	41.20315859	60.35994689
x135	1.689567997	22.29948937
x136	21.54467818	36.82723141
x137	5.351674081	64.30536042
x14	77.35286775	72.19562646
x141	39.59969691	53.61700213
x142	37.83693908	42.97691371
x143	93.87067441	76.53720684
x144	1.279686163	81.34251357
x145	90.36940837	52.69868905
x147	48.82781162	72.40215499
x148	51.88206343	8.138583996
x149	38.10196505	21.71834483
x150	32.00083591	45.89924944
x151	3.61495914	47.81484172
x153	6.288983898	94.29058249
x154	97.60526971	5.688717696
x155	71.30052391	78.81817604
x156	12.63293057	35.30612432
x157	61.42320232	44.29339649
x159	47.45744276	46.81667339
x160	10.02104891	9.209421679
x161	64.76393483	3.238974853
x162	55.65986115	53.17241685
x163	39.58819375	48.19883951
x165	80.87294119	2.363524188
x166	75.65340992	13.75864085
x167	46.75123271	50.97156345
x168	42.58312457	15.63110399
x170	80.11725079	10.58160141
x2	38.85519709	48.15791235
x21	72.00194742	25.54154062
x222	6.438214701	56.22507848
x23	17.97863612	94.06415797
x240	85.26771114	82.71305383
x25	26.78102455	54.78226646
x28	14.37311148	7.891166502
x3	48.98650742	30.06292876
x303	31.68286271	88.09076752
x304	57.07479618	4.509849918
x305	50.88726423	73.85451289
x306	15.84102499	77.82489515
x307	13.71878224	60.62126352
x308	42.30184132	23.59147188
x309	45.04948318	90.12973391
x310	6.267420982	51.30706082
x311	89.462886	20.27279996
x312	40.85674398	87.9282429
x313	3.006196894	70.9560625
x314	71.93305171	34.49668505
x315	96.05997012	22.57453842
x316	86.88491628	73.15709801
x317	63.03377782	81.55340331
x318	59.44119582	31.60019538
x319	82.64743245	54.0332196
x320	3.642372352	53.8119067
x322	86.80364213	91.64520079
x324	13.85654244	93.94776642
x325	58.46047822	76.78362996
x327	35.52191192	99.89743365
x328	80.52089148	25.91942333
x329	69.80223537	42.15329586
x330	9.921176964	76.68047086
x331	76.44081372	46.65239219
x332	4.942474486	34.93196222
x333	65.35301295	36.0584964
x334	10.81420404	19.16144393
x335	95.14013964	88.63154498
x336	84.09135776	25.97584847
x337	83.44243039	31.70565494
x338	14.28225334	75.80033381
x339	89.41916226	1.610931255
x34	71.69134388	32.45385363
x340	11.59195175	79.19428711
x343	74.9883702	69.08257001
x344	12.07373634	64.31667855
x345	33.9774055	91.4697626
x346	27.33598853	4.187946291
x348	36.92297441	24.82895784
x350	66.74522395	35.93299975
x351	96.13686672	53.70619617
x352	92.17712009	0.858397048
x353	37.05650089	91.37321564
x354	3.97546507	59.70414774
x355	54.16356466	38.44366255
x356	7.668050374	98.88093621
x358	65.33876423	12.82135347
x359	51.52597182	17.91016722
x36	99.80710517	75.54199538
x360	1.813225953	14.49630428
x361	84.24279298	42.00552137
x362	65.29906479	35.21405486
x364	60.23435648	72.90388201
x365	18.80717725	69.7595252
x367	10.10918641	9.146868751
x368	83.32652795	84.65975768
x369	60.57784492	55.59278382
x370	43.29153071	59.75066611
x371	86.51673442	72.28188101
x374	7.486693531	18.26898806
x375	13.59816074	7.272792378
x376	79.80719532	33.11343908
x377	98.44967679	21.62581619
x378	68.19404703	68.10941339
x380	11.90679976	12.61637817
x381	88.89496214	42.27459358
x382	9.228729581	10.04852196
x383	58.90142958	23.27099479
x384	22.80528158	94.62397742
x385	29.15800293	97.4292175
x386	31.32421341	65.42906004
x387	49.20783487	42.57128054
x388	65.0261564	14.98266763
x389	57.59792427	16.9368762
x39	90.10021033	37.88947178
x390	27.77911478	45.83523722
x391	88.4923706	68.08097441
x392	27.04245131	20.60579663
x43	72.35586349	96.08096089
x46	84.50370071	73.32925788
x47	36.85574423	71.67111816
x54	52.91487887	49.47434441
x57	52.74838062	99.76991352
x59	33.24269183	36.30799844
x60	67.13077422	49.18471372
x62	69.54390933	69.36787747
x63	89.68982508	46.44737682
x64-1	95.27464871	80.2860482
x64-2	90.46416212	56.58719474
x65	58.87642839	71.18455346
x66	18.1685956	84.14119085
x69	57.65499064	28.58551623
x7	58.88563447	79.59401487
x70	58.09590664	42.95854141
x71	6.474150539	37.19998378
x73	55.05439197	64.874501
x74	89.53243807	2.096239634
x75	96.82818069	49.39347808
x78	69.30758193	91.63815874
x8	65.09972977	93.62268306
x89	51.26480567	18.27888779
x91	53.39416829	7.465641398
x93	70.36429223	26.98910378
x94	53.47028188	48.60343661
x95	15.15543825	35.54686662
x96	66.27247141	63.54026795
x97	5.965737159	60.1568625
x98	5.549639036	77.67052313
x99	93.62534321	33.79383797
